zone,num,zoneName,unitCode,unitName,groupCode,groupName,wkt
6N,6,Northern Ten Thousand Islands,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((454235.74700000044 2863739.5429999996, 459115.01800000016 2863742.029000003, 459121.3250000011 2861942.522, 459121.44400000107 2859789.7630000003, 459121.563000001 2858049.005999999, 459924.97300000023 2858041.005000001, 459922.1579999998 2857236.2520000003, 462434.3260000013 2857223.7470000014, 462858.7650000015 2857222.246000001, 463992.08300000057 2857218.494000001, 464027.53100000136 2860556.7550000027, 467399.08299999963 2860508.6680000015, 473027.96100000106 2854769.7239999995, 466225.3860000009 2844511.9370000027, 462435.70700000133 2842109.308, 462396.0390000008 2842157.6730000004, 460644.9510000013 2844223.439000001, 457393.82900000084 2847124.9600000028, 454201.9213185925 2850074.5735692903, 449899.4760000007 2853773.751000002, 447831.2800000012 2855639.2720000017, 447830.69200000074 2857256.7799999975, 449420.7650000006 2857266.5220000017, 449422.0209999997 2858898.5310000014, 449922.4919999987 2858894.029000001, 451021.6230000006 2858894.7760000024, 451006.53400000185 2860507.035, 452637.91600000206 2860511.5310000014, 452638.26499999966 2861969.539000001, 452623.5780000007 2862114.2890000027, 453318.7680000011 2862117.0370000023, 454233.17900000047 2862120.785000004, 454235.74700000044 2863739.5429999996))"
6C,6,Central Ten Thousand Islands,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((466225.3860000009 2844511.9370000027, 473027.96100000106 2854769.7239999995, 487326.24000000115 2840204.095999999, 487317.92700000014 2840162.3460000027, 473563.65830534603 2828473.538071664, 468894.739000001 2834234.107999999, 462435.70700000133 2842109.308, 466225.3860000009 2844511.9370000027))"
6S,6,Southern Ten Thousand Islands,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((487326.24000000115 2840204.095999999, 494207.6840000013 2833194.0430000033, 505878.80900000036 2826240.234000003, 505873.2150000008 2826230.7339999992, 476878.27765542455 2820402.168959841, 473564.7852299437 2828453.1749962606, 487317.92700000014 2840162.3460000027, 487326.24000000115 2840204.095999999))"
5,5,Shark River,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"MULTIPOLYGON (((505871.9299999997 2826230.477000002, 518133.392643732 2818456.5206433684, 518193.366212165 2812754.6115364283, 509018.17500000075 2811286.729000002, 490572.94305382576 2796189.4390639383, 488769.08499999996 2800279.343000004, 481495.8546611443 2799343.65193516, 482082.95041715726 2801735.9836322144, 479561.3373229895 2813494.867323106, 476856.85775042605 2820404.3272392415, 505871.9299999997 2826230.477000002)), ((505871.9299999997 2826230.477000002, 505878.80900000036 2826240.234000003, 505873.2150000008 2826230.7339999992, 505871.9299999997 2826230.477000002)))"
4,4,Whitewater Bay,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((509136.311345906 2811363.5863658898, 518186.54508650955 2812737.792981036, 517752.9900099924 2793592.237385737, 510563.6959461998 2786239.1283864006, 510516.876950969 2779146.003630569, 504501.35895605944 2779070.2307128347, 504462.0641698865 2786743.849050222, 493250.68512048107 2790214.199678723, 490570.0908420468 2796209.0950619187, 509136.311345906 2811363.5863658898))"
3W,3,Western Cape Sable,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((481487.76423239056 2799335.453462774, 488769.08499999996 2800279.343000004, 493211.50795810483 2790207.644577913, 495429.68617106974 2789434.993710926, 495363.07199999876 2779559.619999999, 491457.4408764206 2774684.4258103333, 483577.8849628251 2782412.804094294, 479264.20067302044 2790283.1137224063, 481487.76423239056 2799335.453462774))"
1E,1,Northeastern Florida Bay,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((530256.5922218161 2794171.894864224, 555945.4240000006 2796603.3610000033, 556353.7330000009 2794566.346000001, 556724.2300000014 2792792.5830000024, 556766.2300000004 2792575.3320000023, 556808.6680000005 2792369.3320000004, 556936.2300000014 2791741.5820000004, 557065.7310000006 2791103.3310000002, 557105.1060000015 2790902.081000002, 557116.9179999996 2790841.831000002, 557148.3559999997 2790681.8310000002, 557195.8559999997 2790467.831000004, 557321.5440000007 2789885.831000002, 557331.2309999997 2789843.830000002, 557345.1690000007 2789808.580000002, 557429.1070000008 2789642.580000004, 557613.4830000009 2789262.830000002, 557805.3600000022 2788870.829, 558009.4239999996 2788437.0780000016, 558264.7380000008 2787909.3279999997, 558360.8010000009 2787705.0770000014, 558640.0539999995 2787122.8260000013, 558706.4920000006 2786990.0760000013, 558780.7429999998 2786906.3260000013, 558804.3679999998 2786873.8260000013, 558937.682 2786792.825000001, 559003.245000001 2786765.075000003, 559324.3729999997 2786631.074000003, 559714.8150000004 2786464.073000001, 560115.006000001 2786295.8220000025, 560506.6349999998 2786129.5710000005, 560915.8890000004 2785963.8200000003, 561034.8910000008 2785908.319000004, 561110.892 2785875.819, 561157.4550000001 2785855.819000004, 561248.4560000021 2785795.569, 561595.8350000018 2785528.318, 561554.3970000008 2785395.318000002, 561521.7090000017 2785291.818, 561439.9589999998 2785039.818, 561431.2090000007 2785011.818000002, 561419.3959999997 2784985.8180000037, 561397.2080000006 2784958.0680000037, 561376.7710000006 2784937.818, 561353.3330000006 2784913.568, 561192.8310000012 2784758.068, 561124.9560000012 2784690.818, 561101.5180000011 2784666.068, 561073.4550000001 2784625.819000002, 561058.0180000002 2784597.069, 561040.0800000001 2784571.069, 561018.5170000009 2784545.319000004, 560929.3910000008 2784425.5689999983, 558847.3059999999 2781687.0730000045, 558669.4910000004 2781460.823999999, 558622.6780000003 2781407.574000001, 558596.8650000002 2781383.324000001, 558569.1150000002 2781362.323999999, 558395.3630000008 2781237.823999999, 558043.671000001 2780988.8260000013, 557987.4199999999 2780955.0759999994, 557968.2950000018 2780932.8260000013, 557959.3570000008 2780915.5759999994, 557945.7320000008 2780886.5759999994, 557926.1689999998 2780850.3260000013, 557917.4809999997 2780818.0759999994, 557905.1690000007 2780783.0760000013, 557878.0429999996 2780673.3260000013, 557871.8560000006 2780636.8260000013, 557873.6060000015 2780599.5760000013, 557879.6060000006 2780562.3259999976, 557888.4179999987 2780540.576000003, 557908.5430000005 2780495.0759999976, 557923.1690000007 2780450.0759999994, 557934.6059999997 2780419.3260000013, 557938.7309999997 2780384.5759999994, 557943.1690000007 2780327.8260000013, 557946.2939999998 2780279.5759999994, 557943.9809999997 2780180.325000001, 557933.6060000006 2780141.5759999994, 557931.5439999998 2780114.075000001, 557929.5440000016 2780081.825000001, 557929.4189999998 2780045.825000001, 557933.4190000007 2780020.825000003, 557938.6060000006 2779999.575000003, 557951.6690000016 2779982.075000001, 557962.9190000007 2779960.325000001, 558087.483 2779766.325000001, 558141.109000002 2779676.075000001, 558154.796000001 2779658.0749999974, 558176.6720000003 2779618.574000001, 558193.4840000002 2779590.324000001, 558202.3600000013 2779565.323999999, 558222.8600000003 2779495.573999999, 558230.1100000013 2779453.574000001, 558232.9850000013 2779420.574000001, 558225.5470000003 2779386.824000001, 558216.1720000003 2779359.824000001, 558201.9850000022 2779328.073999999, 558182.2970000021 2779300.824000001, 558160.7340000002 2779272.573999999, 558143.921000001 2779257.074000001, 558131.8580000019 2779245.824000001, 558075.6080000009 2779218.825000001, 557947.2929999996 2779156.5749999993, 557917.0430000015 2779140.325000001, 557786.9159999993 2779081.0760000013, 557772.2280000001 2779083.3260000013, 557654.977 2779105.576000003, 557383.7230000002 2779158.3270000014, 557146.2200000007 2779194.5779999997, 557044.8430000003 2779209.577999998, 556883.716000001 2779228.5780000016, 556679.2130000014 2779260.579000002, 556470.273000001 2779300.080000004, 556431.835 2779305.080000002, 556302.5830000015 2779311.08, 556276.3949999986 2779308.330000004, 556222.8940000013 2779300.331000002, 556204.0820000004 2779296.331000002, 556172.5190000003 2779286.831000002, 556128.9550000001 2779263.081000002, 556097.142 2779232.581000002, 556073.1420000009 2779203.581000002, 556057.017 2779179.5810000002, 555987.2029999988 2779076.081000004, 555892.7640000014 2778947.081000002, 555852.5130000021 2778867.0820000023, 555813.950000002 2778803.5820000004, 555773.0120000001 2778727.3320000004, 555764.699000001 2778693.3320000004, 555762.512000001 2778656.0820000004, 555770.699 2778521.5820000004, 555767.8859999999 2778490.5820000023, 555763.7609999999 2778472.832000004, 555748.1359999999 2778440.5820000023, 553743.0360000012 2775431.8380000014, 553667.597000001 2775328.5880000014, 553643.8460000008 2775139.0880000032, 553639.8459999999 2775100.8380000014, 553627.8450000007 2775072.8379999995, 553474.8159999996 2774831.8389999997, 526741.0410000002 2774831.7940000035, 530443.2470000014 2782879.0950000044, 530256.5922218161 2794171.894864224))"
1W,1,Northwestern Florida Bay,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((517749.25363697484 2793567.8783635963, 520279.1834080322 2793406.8073292747, 530256.8088409221 2794177.0799822584, 530444.4750000015 2784106.200000001, 530443.2470000014 2782879.0950000044, 530386.2469999995 2782755.3450000025, 526741.0410000002 2774831.7940000035, 504630.60987952165 2774910.6026321314, 504693.6316489931 2779108.7345012203, 510572.6247927686 2779229.577416906, 510570.2586380746 2786233.266392477, 517749.25363697484 2793567.8783635963))"
3E,3,Eastern Cape Sable,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((505079.1770000011 2756882.3910000026, 504492.69299999904 2757552.1720000003, 503926.3389999997 2758191.6740000006, 503357.5780000016 2758836.6750000026, 502931.19400000107 2759321.676000003, 502515.12400000077 2759802.926000003, 502226.77400000114 2760123.427000001, 502081.39600000065 2760283.177000003, 501928.67500000075 2760439.4279999994, 500026.4179999996 2762431.431, 498830.15898836125 2763657.802691335, 497765.0990000013 2764991.6970000025, 494301.63700000104 2769281.011000002, 491421.2579552829 2772927.5922009703, 491395.25845240615 2774666.811904816, 495363.1660000002 2779244.116000004, 495363.07199999876 2779559.619999999, 495452.22092400957 2789390.0694941785, 504462.5158356838 2786736.970720146, 505079.1770000011 2756882.3910000026))"
2E,2,Southeastern Florida Bay,EVER,EVERGLADES NATIONAL PARK,SOFL,South Florida National Parks Group,"POLYGON ((553474.8159999996 2774831.8389999997, 553004.4570000004 2774091.09, 552977.2680000002 2774052.59, 552948.7680000002 2774037.09, 550448.5930000003 2772524.5989999995, 548237.4579999996 2771479.092, 548636.324 2769254.592, 548645.5109999999 2769181.592, 548648.6359999999 2769160.092, 548644.4479999999 2769090.092, 548627.1349999998 2768794.092, 548624.1349999998 2768781.342, 548619.2599999998 2768770.342, 548542.0710000005 2768643.591, 548474.0080000004 2768538.841, 548380.8210000005 2768505.091, 548165.8820000002 2768413.09, 548007.0070000002 2768350.8389999997, 547952.8190000001 2768321.5889999997, 547772.631 2768209.3379999995, 547582.7549999999 2768094.5869999994, 547399.5039999997 2767989.835999999, 547224.8779999996 2767858.085000001, 547014.8779999996 2767702.5840000007, 546918.1270000003 2767627.5840000007, 546853.5640000002 2767614.0840000007, 546683.0640000002 2767576.8330000006, 546646.5010000002 2767568.8330000006, 546631.3140000002 2767562.8320000004, 546619.7510000002 2767553.0820000004, 546476.6880000001 2767461.5820000004, 546306.25 2767357.3310000002, 546131 2767254.08, 545954.4359999998 2767145.579, 545777.3109999998 2767032.0779999997, 545588.6229999997 2766920.5769999996, 545544.8099999996 2766895.0769999996, 545530.8099999996 2766884.5769999996, 545429.8720000004 2766768.8259999994, 545282.6210000003 2766617.5749999993, 545135.9950000001 2766460.323999999, 544994.307 2766308.573000001, 544850.744 2766154.8220000006, 544708.9929999998 2765983.0710000005, 544632.9929999998 2765875.0710000005, 544617.8049999997 2765856.3210000005, 544590.4299999997 2765804.5710000005, 544502.3660000004 2765624.0700000003, 544409.9910000004 2765438.319, 544393.6160000004 2765404.069, 544386.9280000003 2765393.069, 544365.8020000001 2765235.319, 544335.8020000001 2765062.818, 544314.3039999995 2764913.567, 544079.0559999999 2764732.0649999995, 543917.9950000001 2764600.062999999, 543886.3710000003 2764581.312999999, 543537.1849999996 2764413.0600000005, 542417.9409999996 2763867.801000001, 540508.5120000001 2762936.7860000003, 538785.8310000002 2762101.523, 537870.3329999996 2761662.5160000008, 536964.523 2761219.76, 536870.898 2761179.2589999996, 536791.9620000003 2761098.5079999994, 534570.352 2758778.7359999996, 534475.665 2758679.7349999994, 534423.352 2758661.4849999994, 533955.0389999999 2758499.232000001, 533311.6009999998 2758264.228, 533181.4129999997 2758216.977, 533155.2879999997 2758207.227, 533093.9129999997 2758170.977, 532717.0379999997 2757967.2239999995, 527816.5939999996 2755326.443, 527721.1560000004 2755276.192, 526782.8449999997 2753965.683, 526705.0329999998 2753928.182, 525269.1509999996 2753149.6740000006, 521741.0080000004 2751167.164000001, 516917.23699999973 2748514.6510000005, 519244.1030000001 2758535.9399999995, 519480.47699999996 2759049.692, 526741.0410000002 2774831.7939999998, 553474.8159999996 2774831.8389999997))"
