Column Name,Descriptive Name,Description,Type,CSV,Derived?
keyfield,Keyfield,Date(YYMMDD)_Time_Station ,,ENV,
station,,,,ENV,
quadrant,Cardinal direction of sampling relative to station point,Previously location,,ENV,
lat,,,,ENV,
long,,,,ENV,
date,,,,ENV,
year,,,,ENV,
month,,,,ENV,
day,,,,ENV,
time,local time,,,ENV,
zone,,,,ENV,
waypoint_start,Waypoint number matching GPS files,,,ENV,
waypoint_end,Waypoint number matching GPS files,,,ENV,
tow_time,Duration of tow,,,ENV,
tow_dist_rec,Tow distance recorded manually,,,ENV,
tow_dist_calc,Tow distance calculated from wapoints (GPS files),,,ENV,Y
tow_area,Calculated tow area INSERT FORMULA HERE,,,ENV,Y
sea_state,"Calm, Light Chop, Rough",,,ENV,
atmo,"Sunny, Partly Cloudy, Cloudy",,,ENV,
secchi,"Depth (nearest half foot), or See Bottom",,,ENV,
crew,Full Crew,,,ENV,
depth_ft,Feet,,,ENV,
depth_in,Inches (in previous feet),,,ENV,
depth_cm,Conversion to cm,,,ENV,Y
sal,PSU,,,ENV,
temp,Celsius,,,ENV,
do_sat,Saturation,,,ENV,
do_mgl,mg/L,,,ENV,
chla,"derived from raw flourescence, not calibrated",,,ENV,
notes,Field Notes,,,ENV,
keyfield,,,,SAV,
crew_grass,SAV surveyer,,,SAV,
sav_spec,Seagrass species,,,SAV,
rep,Sample rep at site,,,SAV,
pc,Percent Cover (to the nearest 5 or 10),,,SAV,
height,CM (nearest 5/10),,,SAV,
surv_meth,"SAV method, (Tube, Swim, Underway)",,,SAV,
pc_meth,SAV PC method (BB or Not),,,SAV,
keyfield,,,,SPORTFISH,
spec_code,REMOVE,,,SPORTFISH,
sci_nm,Can be added through code,,,SPORTFISH,Y
com_nm,,,,SPORTFISH,
count,Derived by counting lengths,,,SPORTFISH,Y
bc_m,SWITCH TO SPECIES LIST,,,SPORTFISH,
bc_f,SWITCH TO SPECIES LIST,,,SPORTFISH,
length,mm,,,SPORTFISH,
keyfield,,,,COLLECTION_LW,
com_nm,,,,COLLECTION_LW,
sci_nm,Can be added through code,,,COLLECTION_LW,Y
standard,"Standard Length (mm), everyone should have",,,COLLECTION_LW,
total,"Total Length (mm), not everyone will have",,,COLLECTION_LW,
length,"Standard Length but if only Total, using total (find ex)",,,COLLECTION_LW,
weight,grams,,,COLLECTION_LW,
keyfield,,,,COLLECTION_bulk,
sci_nm,,,,COLLECTION_bulk,
com_nm,,,,COLLECTION_bulk,
count,,,,COLLECTION_bulk,
bulk_wt,biomass (g) per species(of all individuals),,,COLLECTION_bulk,
keyfield,,,,GUT,
sport_num,Order of the stomach content sampled (numeric ID),,,GUT,
stom_spec,Species that the stomach comes from,,,GUT,
standard,"Standard Length (mm), everyone should have",,,GUT,
total,"Total Length (mm), not everyone will have",,,GUT,
length,"Standard Length but if only Total, using total (find ex)",MAYBE,,GUT,
wt_wstom,Weight of fish w/ stomach (g),,,GUT,
wt_wostom,Weight of fish w/o stomach (g),,,GUT,
blk_wt,Weight of contents of stomach (g),,,GUT,
blk_vol,Volume of contents of stomach (ml) UNRELIABLE,,,GUT,
cat,"Category (Fish, Crustracean, Misc)",,,GUT,
cat_wt,Weight per Category (g),,,GUT,
cat_vol,UNRELIABLE,,,GUT,
food_id,Lowest taxonomic level IDd,,,GUT,
food_ord,Order,,,GUT,Y
food_fam,Family,,,GUT,Y
food_count,Number of individual within ,,,GUT,
food_wt,Weight of ID,,,GUT,
food_tl,Total Length (if intact),,,GUT,
food_sl,Standard Length (if intact),,,GUT,
food_cl,Carapace Length (if intact),,,GUT,
