"keyfield","com_nm","sci_nm","count","bulk_wt"
"200906061500-618","Least Puffer","Sphoeroides parvus",1,0.6
"200906061500-618","Mojarra Spp","Eucinostomus spp",40,12.63
"200906061500-618","Sargassum Pipefish","Syngnathus pelagicus",1,1.89
"200906061605-401","Mojarra Spp","Eucinostomus spp",5,25.12
"200906061605-401","Sargassum Pipefish","Syngnathus pelagicus",2,2.37
"200906070900-040","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"200906070900-040","Herring Spp","Clupeidae spp",1,0.23
"200906070900-040","Marbled Blenny","Paraclinus marmoratus",1,0.16
"200906070900-040","Mojarra Spp","Eucinostomus spp",57,20.58
"200906070900-040","Pinfish","Lagodon rhomboides",73,221.49
"200906070900-040","Rainwater Killifish","Lucania parva",6,0.98
"200906070900-040","Sargassum Pipefish","Syngnathus pelagicus",2,0.77
"200906070900-040","Sheepshead Porgy","Calamus penna",2,2.76
"200906070900-040","White Grunt","Haemulon plumierii",1,7.01
"200906071010-021","Grass Porgy","Calamus arctifrons",1,1.01
"200906071010-021","Mojarra Spp","Eucinostomus spp",6,30.46
"200906071010-021","Pinfish","Lagodon rhomboides",35,359.08
"200906071010-021","Planehead Filefish","Stephanolepis hispidus",1,6.4
"200906071010-021","Porgy Spp","Sparidae spp",5,85.14
"200906071010-021","Sargassum Pipefish","Syngnathus pelagicus",1,1.33
"200906071010-021","Sheepshead Porgy","Calamus penna",3,8.31
"200906071010-021","Silver Perch","Bairdiella chrysoura",1,17.03
"200906071010-021","White Grunt","Haemulon plumierii",3,8.45
"200906071203-070","Grunt Spp","Haemulon spp",1,0.54
"200906071203-070","Gulf Pipefish","Syngnathus scovelli",5,1.32
"200906071203-070","Inshore Lizardfish","Synodus foetens",1,3.38
"200906071203-070","Mojarra Spp","Eucinostomus spp",92,18.03
"200906071203-070","Pinfish","Lagodon rhomboides",572,984.8
"200906071203-070","Porgy Spp","Sparidae spp",1,0.8
"200906071203-070","Rainwater Killifish","Lucania parva",7,0.51
"200906071203-070","Sargassum Pipefish","Syngnathus pelagicus",3,1.01
"200906071203-070","Sheepshead Porgy","Calamus penna",33,79.09
"200906071203-070","Striped Burrfish","Chilomycterus schoepfi",2,18.61
"200906071451-147","Goldspotted Killifish","Floridichthys carpio",2,0.27
"200906071451-147","Mojarra Spp","Eucinostomus spp",55,481.33
"200906071451-147","Spotted Seatrout","Cynoscion nebulosus",1,2.32
"200906081002-176","Goldspotted Killifish","Floridichthys carpio",1,1.42
"200906081002-176","Gulf Pipefish","Syngnathus scovelli",1,0.12
"200906081002-176","Mojarra Spp","Eucinostomus spp",28,5.71
"200906081002-176","Pinfish","Lagodon rhomboides",138,372.47
"200906081002-176","Rainwater Killifish","Lucania parva",77,15.32
"200906081002-176","Sheepshead Porgy","Calamus penna",4,3.38
"200906081002-176","Silver Perch","Bairdiella chrysoura",5,8.92
