"keyfield","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes"
"200409211243-408",2004,9,21,"12:43",408,"W",25.12,-80.642,"9/21/2004","Crocodile",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,25.5,NA,NA,NA,NA,NA,NA
"200409211045-324",2004,9,21,"10:45",324,"S",25.124,-80.694,"9/21/2004","Crocodile",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,28,NA,NA,NA,NA,NA,NA
"200409211140-325",2004,9,21,"11:40",325,"W",25.112,-80.682,"9/21/2004","Crocodile",NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,29.3,NA,NA,NA,NA,NA,NA
"200409211623-271",2004,9,21,"16:23",271,"W",25.058,-80.752,"9/21/2004","Whipray",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,30.4,NA,NA,NA,NA,NA,NA
"200409211329-402",2004,9,21,"13:29",402,"W",25.122,-80.668,"9/21/2004","Crocodile",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,30.4,NA,NA,NA,NA,NA,NA
"200409211720-284",2004,9,21,"17:20",284,"N",25.069,-80.738,"9/21/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,30.5,NA,NA,NA,NA,NA,NA
"200409211513-616",2004,9,21,"15:13",616,"W",25.148,-80.691,"9/21/2004","Crocodile",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,30.8,NA,NA,NA,NA,NA,NA
"200409211408-621",2004,9,21,"14:08",621,"S",25.167,-80.664,"9/21/2004","Crocodile",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,30.8,NA,NA,NA,NA,NA,NA
"200409220938-118",2004,9,22,"9:38",118,"W",25.076,-80.985,"9/22/2004","West",NA,NA,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,28.3,NA,NA,NA,NA,NA,NA
"200409221105-107",2004,9,22,"11:05",107,"W",25.065,-80.999,"9/22/2004","West",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,28.5,NA,NA,NA,NA,NA,NA
"200409221234-021",2004,9,22,"12:34",21,"E",25.069,-81.051,"9/22/2004","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,28.6,NA,NA,NA,NA,NA,NA
"200409221515-158",2004,9,22,"15:15",158,"N",25.083,-80.919,"9/22/2004","West",NA,NA,NA,180.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,29,NA,NA,NA,NA,NA,NA
"200409221336-101",2004,9,22,"13:36",101,"N",25.08,-81.037,"9/22/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,29.2,NA,NA,NA,NA,NA,NA
"200409221712-294",2004,9,22,"17:12",294,"W",25.078,-80.728,"9/22/2004","Whipray",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,29.2,NA,NA,NA,NA,NA,NA
"200409230854-243",2004,9,23,"8:54",243,"S",25.049,-80.792,"9/23/2004","Rankin",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,26.7,NA,NA,NA,NA,NA,NA
"200409230942-227",2004,9,23,"9:42",227,"S",25.051,-80.818,"9/23/2004","Rankin",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,27.1,NA,NA,NA,NA,NA,NA
"200409231043-242",2004,9,23,"10:43",242,"S",25.062,-80.804,"9/23/2004","Rankin",NA,NA,NA,159.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,27.1,NA,NA,NA,NA,NA,NA
"200409231311-176",2004,9,23,"13:11",176,"W",25.1,-80.866,"9/23/2004","West",NA,NA,NA,493.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,28.1,NA,NA,NA,NA,NA,NA
"200409231205-239",2004,9,23,"12:05",239,"E",25.1,-80.839,"9/23/2004","Rankin",NA,NA,NA,176.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,28.3,NA,NA,NA,NA,NA,NA
"200409231630-291",2004,9,23,"16:30",291,"W",25.118,-80.76,"9/23/2004","Whipray",NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,28.6,NA,NA,NA,NA,NA,NA
"200409231453-267",2004,9,23,"14:53",267,"W",25.109,-80.799,"9/23/2004","Rankin",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28.8,NA,NA,NA,NA,NA,NA
"200409231544-280",2004,9,23,"15:44",280,"W",25.12,-80.785,"9/23/2004","Rankin",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,28.9,NA,NA,NA,NA,NA,NA
"200409240912-124",2004,9,24,"9:12",124,"S",24.999,-80.914,"9/24/2004","West",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,27.2,NA,NA,NA,NA,NA,NA
"200409241130-146",2004,9,24,"11:30",146,"S",25.059,-80.921,"9/24/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27.2,NA,NA,NA,NA,NA,NA
"200409241245-134",2004,9,24,"12:45",134,"N",25.048,-80.935,"9/24/2004","West",NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27.3,NA,NA,NA,NA,NA,NA
"200409241024-122",2004,9,24,"10:24",122,"S",25.025,-80.938,"9/24/2004","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,27.4,NA,NA,NA,NA,NA,NA
"200409241345-145",2004,9,24,"13:45",145,"S",25.072,-80.933,"9/24/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,28.2,NA,NA,NA,NA,NA,NA
"200410171035-229",2004,10,17,"10:35",229,"N",25.026,-80.794,"10/17/2004","Rankin",NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24,NA,NA,NA,NA,NA,NA
"200410171130-228",2004,10,17,"11:30",228,"W",25.038,-80.806,"10/17/2004","Rankin",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24.5,NA,NA,NA,NA,NA,NA
"200410171348-256",2004,10,17,"13:48",256,"N",25.074,-80.787,"10/17/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,25.5,NA,NA,NA,NA,NA,NA
"200410171627-283",2004,10,17,"16:27",283,"N",25.081,-80.75,"10/17/2004","Whipray",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,NA,NA,NA,NA,NA,NA
"200410171444-269",2004,10,17,"14:44",269,"E",25.083,-80.776,"10/17/2004","Whipray",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26.5,NA,NA,NA,NA,NA,NA
"200410171540-282",2004,10,17,"15:40",282,"W",25.094,-80.762,"10/17/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27,NA,NA,NA,NA,NA,NA
"200410181102-315",2004,10,18,"11:02",315,"E",25.101,-80.696,"10/18/2004","Crocodile",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,26.5,NA,NA,NA,NA,NA,NA
"200410181014-325",2004,10,18,"10:14",325,"S",25.112,-80.682,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,26.5,NA,NA,NA,NA,NA,NA
"200410181240-622",2004,10,18,"12:40",622,"W",25.157,-80.651,"10/18/2004","Crocodile",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27,NA,NA,NA,NA,NA,NA
"200410181440-616",2004,10,18,"14:40",616,"S",25.148,-80.691,"10/18/2004","Crocodile",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,27.5,NA,NA,NA,NA,NA,NA
"200410181526-401",2004,10,18,"15:26",401,"E",25.135,-80.68,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28,NA,NA,NA,NA,NA,NA
"200410181630-402",2004,10,18,"16:30",402,"N",25.122,-80.668,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,NA,NA,NA,NA,NA,NA
"200410181346-621",2004,10,18,"13:46",621,"W",25.167,-80.664,"10/18/2004","Crocodile",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28,NA,NA,NA,NA,NA,NA
"200410191000-021",2004,10,19,"10:00",21,"E",25.069,-81.051,"10/19/2004","West",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA
"200410191108-101",2004,10,19,"11:08",101,"S",25.08,-81.037,"10/19/2004","West",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26.5,NA,NA,NA,NA,NA,NA
