"keyfield","sport_num","stom_spec","standard","total","wt_wstom","wt_wostom","blk_wt","blk_vol","cat","cat_wt","cat_vol","food_id","food_ord","food_fam","food_count","food_wt","food_tl","food_sl","food_cl"
"200906071451-147",32,"Cynoscion nebulosus",54.05,66.4,2.32,1.99,0.036,0.036,"Crustacean",0.001,0.01,"Hippolyte spp","Decapoda","Hippolytidae",1,0.001,NA,NA,NA
"200906071451-147",32,"Cynoscion nebulosus",54.05,66.4,2.32,1.99,0.036,0.036,"Fish",0.036,0.06,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.011,NA,NA,NA
"200906071451-147",32,"Cynoscion nebulosus",54.05,66.4,2.32,1.99,0.036,0.036,"Fish",0.036,0.06,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.026,NA,NA,NA
"200906081002-176",31,"Cynoscion nebulosus",39.42,46.83,0.88,0.64,0.087,0.087,"Fish",0.087,0.15,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.087,21.62,15.92,NA
"200907111350-107",27,"Cynoscion nebulosus",26.57,30.67,0.24,0.16,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111350-107",28,"Cynoscion nebulosus",27.01,32.14,0.27,0.2,0.007,0.007,"Fish",0.007,0.02,"Gerreidae spp","Perciformes","Gerreidae",1,0.007,NA,NA,NA
"200907111350-107",25,"Cynoscion nebulosus",51.38,59.49,1.57,1.28,0.011,0.011,"Crustacean",0.005,0.02,"Hippolyte spp","Decapoda","Hippolytidae",1,0.005,NA,NA,NA
"200907111350-107",25,"Cynoscion nebulosus",51.38,59.49,1.57,1.28,0.011,0.011,"Fish",0.006,0.01,"UNID",NA,NA,1,0.006,NA,NA,NA
"200907111350-107",26,"Cynoscion nebulosus",31.58,36.8,0.38,0.3,0.007,0.007,"Fish",0.007,0.1,"UNID",NA,NA,1,0.007,NA,NA,NA
"200907111213-021",33,"Cynoscion nebulosus",40.73,47.65,0.77,0.64,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111428-119",30,"Cynoscion nebulosus",34.77,41.03,0.54,0.45,0.024,0.024,"Fish",0.024,0.04,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.024,NA,NA,NA
"200907111616-068",24,"Cynoscion nebulosus",28.61,34.03,0.44,0.32,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111616-068",23,"Cynoscion nebulosus",44.05,52.52,1.1,0.77,0.014,0.014,"Fish",0.014,0.03,"UNID",NA,NA,1,0.014,NA,NA,NA
"200907111645-070",65,"Cynoscion nebulosus",35.4,41.88,0.46,0.45,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111645-070",66,"Cynoscion nebulosus",23.45,27.83,0.15,0.13,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111645-070",68,"Cynoscion nebulosus",18.66,22.43,0.06,0.06,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111645-070",69,"Cynoscion nebulosus",30.65,37.74,0.23,0.21,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111645-070",67,"Cynoscion nebulosus",31.26,36.43,0.39,0.31,0.031,0.031,"Crustacean",0.031,0.12,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.012,NA,NA,NA
"200907111645-070",67,"Cynoscion nebulosus",31.26,36.43,0.39,0.31,0.031,0.031,"Crustacean",0.031,0.12,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.017,NA,NA,NA
"200907111550-067",44,"Cynoscion nebulosus",27.12,32.16,0.22,0.21,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907111550-067",39,"Cynoscion nebulosus",59.63,70.36,2.24,2.11,0.038,0.038,"Crustacean",0.038,0.08,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.038,NA,NA,6.89
"200907111550-067",40,"Cynoscion nebulosus",47.88,55.3,1.33,1.25,0.071,0.071,"Crustacean",0.071,0.21,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.071,NA,NA,NA
"200907111550-067",41,"Cynoscion nebulosus",48.8,59.3,1.3,1.33,0.033,0.033,"Crustacean",0.033,0.14,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.033,NA,NA,NA
"200907111550-067",42,"Cynoscion nebulosus",36.4,43.73,0.61,0.596,0.025,0.025,"Crustacean",0.025,0.06,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.025,NA,NA,NA
"200907111550-067",43,"Cynoscion nebulosus",30.18,36.47,0.32,0.28,0.006,0.006,"Fish",0.006,0.01,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.006,NA,NA,NA
"200907120938-071",36,"Cynoscion nebulosus",37.2,45.61,0.59,0.52,0.013,0.013,"Fish",0.013,0.02,"UNID",NA,NA,1,0.013,NA,NA,NA
"200907121007-073",20,"Cynoscion nebulosus",29.06,33.98,0.33,0.19,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200907121007-073",18,"Cynoscion nebulosus",58.96,72.33,2.85,2.47,0.068,0.068,"Fish",0.068,0.09,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.068,NA,NA,NA
"200907121007-073",19,"Cynoscion nebulosus",36.94,43.63,0.7,0.48,0.002,0.002,"Misc",0.002,0.01,"UNID",NA,NA,2,0.002,NA,NA,NA
"200907121007-073",21,"Cynoscion nebulosus",24.9,29.8,0.21,0.11,0.001,0.001,"Crustacean",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"200907141139-323",34,"Cynoscion nebulosus",41.31,50.72,0.91,0.77,0.023,0.023,"Fish",0.023,0.04,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.01,NA,NA,NA
"200907141139-323",34,"Cynoscion nebulosus",41.31,50.72,0.91,0.77,0.023,0.023,"Fish",0.023,0.04,"UNID",NA,NA,1,0.012,NA,NA,NA
"200908081134-021",70,"Cynoscion nebulosus",72.38,84,NA,3.8,0.26,0.26,"Crustacean",0.171,0.39,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.077,NA,NA,NA
"200908081134-021",70,"Cynoscion nebulosus",72.38,84,NA,3.8,0.26,0.26,"Crustacean",0.171,0.39,"Tozeuma carolinense","Decapoda","Hippolytidae",1,0.076,NA,NA,NA
"200908081134-021",70,"Cynoscion nebulosus",72.38,84,NA,3.8,0.26,0.26,"Crustacean",0.171,0.39,"Tozeuma carolinense","Decapoda","Hippolytidae",1,0.021,NA,NA,NA
"200908081253-106",38,"Cynoscion nebulosus",36.78,43.49,0.55,0.51,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200908081425-068",37,"Cynoscion nebulosus",48.73,58.51,1.67,1.3,0.079,0.079,"Fish",0.079,0.17,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.079,NA,NA,NA
"200908091043-278",29,"Cynoscion nebulosus",54.89,68.68,2.3,1.93,0.071,0.071,"Fish",0.071,0.18,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.052,NA,NA,NA
"200908091043-278",29,"Cynoscion nebulosus",54.89,68.68,2.3,1.93,0.071,0.071,"Fish",0.071,0.18,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.021,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Caridean spp","Decapoda",NA,1,0.002,NA,NA,NA
