"keyfield","sav_spec","rep","height","pc","surv_meth","pc_meth","crew_grass"
"200409211243-408","Thalassia",1,12,18,NA,NA,NA
"200409211243-408","Thalassia",2,12,18,NA,NA,NA
"200409211243-408","Thalassia",3,12,18,NA,NA,NA
"200409211243-408","Thalassia",4,12,18,NA,NA,NA
"200409211243-408","Thalassia",5,12,18,NA,NA,NA
"200409211243-408","Thalassia",6,12,18,NA,NA,NA
"200409211243-408","Thalassia",7,12,18,NA,NA,NA
"200409211243-408","Thalassia",8,12,18,NA,NA,NA
"200409211243-408","Thalassia",9,12,18,NA,NA,NA
"200409211243-408","Syringodium",1,NA,0,NA,NA,NA
"200409211243-408","Syringodium",2,NA,0,NA,NA,NA
"200409211243-408","Syringodium",3,NA,0,NA,NA,NA
"200409211243-408","Syringodium",4,NA,0,NA,NA,NA
"200409211243-408","Syringodium",5,NA,0,NA,NA,NA
"200409211243-408","Syringodium",6,NA,0,NA,NA,NA
"200409211243-408","Syringodium",7,NA,0,NA,NA,NA
"200409211243-408","Syringodium",8,NA,0,NA,NA,NA
"200409211243-408","Syringodium",9,NA,0,NA,NA,NA
"200409211243-408","Halodule",1,NA,0,NA,NA,NA
"200409211243-408","Halodule",2,NA,0,NA,NA,NA
"200409211243-408","Halodule",3,NA,0,NA,NA,NA
"200409211243-408","Halodule",4,NA,0,NA,NA,NA
"200409211243-408","Halodule",5,NA,0,NA,NA,NA
"200409211243-408","Halodule",6,NA,0,NA,NA,NA
"200409211243-408","Halodule",7,NA,0,NA,NA,NA
"200409211243-408","Halodule",8,NA,0,NA,NA,NA
"200409211243-408","Halodule",9,NA,0,NA,NA,NA
"200409211243-408","Macroalgae",1,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",2,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",3,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",4,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",5,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",6,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",7,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",8,NA,NA,NA,NA,NA
"200409211243-408","Macroalgae",9,NA,NA,NA,NA,NA
"200409211045-324","Thalassia",1,15,40,NA,NA,NA
"200409211045-324","Thalassia",2,15,40,NA,NA,NA
"200409211045-324","Thalassia",3,15,40,NA,NA,NA
"200409211045-324","Thalassia",4,15,40,NA,NA,NA
"200409211045-324","Thalassia",5,15,40,NA,NA,NA
"200409211045-324","Thalassia",6,15,40,NA,NA,NA
"200409211045-324","Thalassia",7,15,40,NA,NA,NA
"200409211045-324","Thalassia",8,15,40,NA,NA,NA
"200409211045-324","Thalassia",9,15,40,NA,NA,NA
"200409211045-324","Syringodium",1,NA,0,NA,NA,NA
"200409211045-324","Syringodium",2,NA,0,NA,NA,NA
"200409211045-324","Syringodium",3,NA,0,NA,NA,NA
"200409211045-324","Syringodium",4,NA,0,NA,NA,NA
"200409211045-324","Syringodium",5,NA,0,NA,NA,NA
"200409211045-324","Syringodium",6,NA,0,NA,NA,NA
"200409211045-324","Syringodium",7,NA,0,NA,NA,NA
"200409211045-324","Syringodium",8,NA,0,NA,NA,NA
"200409211045-324","Syringodium",9,NA,0,NA,NA,NA
"200409211045-324","Halodule",1,8,2,NA,NA,NA
"200409211045-324","Halodule",2,8,2,NA,NA,NA
"200409211045-324","Halodule",3,8,2,NA,NA,NA
"200409211045-324","Halodule",4,8,2,NA,NA,NA
"200409211045-324","Halodule",5,8,2,NA,NA,NA
"200409211045-324","Halodule",6,8,2,NA,NA,NA
"200409211045-324","Halodule",7,8,2,NA,NA,NA
"200409211045-324","Halodule",8,8,2,NA,NA,NA
"200409211045-324","Halodule",9,8,2,NA,NA,NA
"200409211045-324","Macroalgae",1,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",2,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",3,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",4,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",5,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",6,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",7,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",8,NA,NA,NA,NA,NA
"200409211045-324","Macroalgae",9,NA,NA,NA,NA,NA
"200409211140-325","Thalassia",1,10,22,NA,NA,NA
"200409211140-325","Thalassia",2,10,22,NA,NA,NA
"200409211140-325","Thalassia",3,10,22,NA,NA,NA
"200409211140-325","Thalassia",4,10,22,NA,NA,NA
"200409211140-325","Thalassia",5,10,22,NA,NA,NA
"200409211140-325","Thalassia",6,10,22,NA,NA,NA
"200409211140-325","Thalassia",7,10,22,NA,NA,NA
"200409211140-325","Thalassia",8,10,22,NA,NA,NA
"200409211140-325","Thalassia",9,10,22,NA,NA,NA
"200409211140-325","Syringodium",1,NA,0,NA,NA,NA
"200409211140-325","Syringodium",2,NA,0,NA,NA,NA
"200409211140-325","Syringodium",3,NA,0,NA,NA,NA
"200409211140-325","Syringodium",4,NA,0,NA,NA,NA
"200409211140-325","Syringodium",5,NA,0,NA,NA,NA
"200409211140-325","Syringodium",6,NA,0,NA,NA,NA
"200409211140-325","Syringodium",7,NA,0,NA,NA,NA
"200409211140-325","Syringodium",8,NA,0,NA,NA,NA
"200409211140-325","Syringodium",9,NA,0,NA,NA,NA
"200409211140-325","Halodule",1,6,0,NA,NA,NA
"200409211140-325","Halodule",2,6,0,NA,NA,NA
"200409211140-325","Halodule",3,6,0,NA,NA,NA
"200409211140-325","Halodule",4,6,0,NA,NA,NA
"200409211140-325","Halodule",5,6,0,NA,NA,NA
"200409211140-325","Halodule",6,6,0,NA,NA,NA
"200409211140-325","Halodule",7,6,0,NA,NA,NA
"200409211140-325","Halodule",8,6,0,NA,NA,NA
