"keyfield","com_nm","sci_nm","length","tot_count"
"200409211045-324","Spotted Seatrout","Cynoscion nebulosus",43,1
"200409211140-325","Great Barracuda","Sphyraena barracuda",36,2
"200409211140-325","Great Barracuda","Sphyraena barracuda",90,2
"200409211243-408","Great Barracuda","Sphyraena barracuda",149,1
"200409211623-271","Bluestriped Grunt","Haemulon sciurus",92,1
"200409211623-271","Great Barracuda","Sphyraena barracuda",135,1
"200409221105-107","Atlantic Bay Scallop","Argopecten irradians",55,3
"200409221105-107","Atlantic Bay Scallop","Argopecten irradians",56,3
"200409221105-107","Atlantic Bay Scallop","Argopecten irradians",58,3
"200409221234-021","Schoolmaster Snapper","Lutjanus apodus",100,1
"200409221234-021","Yellowtail Snapper","Ocyurus chrysurus",67,1
"200409230942-227","Bluestriped Grunt","Haemulon sciurus",166,1
"200409230942-227","Great Barracuda","Sphyraena barracuda",41,1
"200409231205-239","Great Barracuda","Sphyraena barracuda",87,2
"200409231205-239","Great Barracuda","Sphyraena barracuda",97,2
"200409231311-176","Spotted Seatrout","Cynoscion nebulosus",39,1
"200409231544-280","Spotted Seatrout","Cynoscion nebulosus",70,1
"200409240912-124","Atlantic Bay Scallop","Argopecten irradians",40,5
"200409240912-124","Atlantic Bay Scallop","Argopecten irradians",45,5
"200409240912-124","Atlantic Bay Scallop","Argopecten irradians",48,5
"200409240912-124","Atlantic Bay Scallop","Argopecten irradians",52,5
"200409240912-124","Atlantic Bay Scallop","Argopecten irradians",55,5
"200409240912-124","Barred Hamlet","Hypoplectrus puella",60,1
"200409241130-146","Spotted Seatrout","Cynoscion nebulosus",39,2
"200409241130-146","Spotted Seatrout","Cynoscion nebulosus",39,2
"200409241345-145","Bluestriped Grunt","Haemulon sciurus",70,1
"200410171627-283","Spotted Seatrout","Cynoscion nebulosus",33,1
"200410181240-622","Great Barracuda","Sphyraena barracuda",120,1
"200410181346-621","Spotted Seatrout","Cynoscion nebulosus",56,1
"200410181346-621","Bluestriped Grunt","Haemulon sciurus",113,1
"200410191000-021","Blue Croaker","Corvula batabana",130,2
"200410191000-021","Blue Croaker","Corvula batabana",145,2
"200410191000-021","Gag Grouper","Mycteroperca microlepis",212,1
"200410191000-021","Caribbean Spiny Lobster","Panulirus argus",125,1
"200410191000-021","Barbfish","Scorpaena brasiliensis",155,1
"200410191108-101","Barred Hamlet","Hypoplectrus puella",62,1
