com_nm,com_nm_new,sci_nm_new
Bay Anchovy,Bay Anchovy,Anchoa mitchilli
Anchovy Spp,Anchovy Spp,Anchoa spp
Atlantic Bay Scallop,Atlantic Bay Scallop,Argopecten irradians
Atlantic Brief Squid,Atlantic Brief Squid,Lolliguncula brevis
Atlantic Bumper,Atlantic Bumper,Chloroscombrus chrysurus
Atlantic Mud Crab,Atlantic Mud Crab,Panopeus herbstii
Atlantic Needlefish,Atlantic Needlefish,Strongylura marina
Atlantic Spadefish,Atlantic Spadefish,Chaetodipterus faber
Atlantic Thread Herring,Atlantic Thread Herring,Opisthonema oglinum
Ballyhoo,Ballyhoo,Hemiramphus brasiliensis
Banded Blenny,Banded Blenny,Paraclinus fasciatus
Bandtail Puffer,Bandtail Puffer,Sphoeroides spengleri
Banner Goby,Banner Goby,Microgobius microlepis
Barbfish,Barbfish,Scorpaena brasiliensis
Barred Hamlet,Barred Hamlet,Hypoplectrus puella
Barred Searobin,Barred Searobin,Prionotus martis
Batfish,Batfish,Ogcocephalus spp
Bay Anchovy,Bay Anchovy,Anchoa mitchilli
Bighead Searobin,Bighead Searobin,Prionotus tribulus
Black Drum,Black Drum,Pogonias cromis
Blackcheek Tonguefish,Blackcheek Tonguefish,Symphurus plagiusa
Blenny Spp,Blenny Spp,Blenniidae spp
Blue Crab,Blue Crab,Callinectes sapidus
Blue Crab Spp,Blue Crab Spp,Callinectes spp
Blue Crab (F),Blue Crab,Callinectes sapidus
Blue Crab (M),Blue Crab,Callinectes sapidus
Blue Croaker,Blue Croaker,Corvula batabana
Blue Runner,Blue Runner,Caranx crysos
Bluefish,Bluefish,Pomatomus saltatrix
Bluelip Parrotfish,Bluelip Parrotfish,Cryptotomus roseus
Bluestriped Grunt,Bluestriped Grunt,Haemulon sciurus
Bluplip Parrotfish,Bluelip Parrotfish,Cryptotomus roseus
Bonefish,Bonefish,Albula vulpes
Brittle Star Spp,Brittle Star Spp,Ophiuroidea spp
Broad-Striped Anchovy,Broad-Striped Anchovy,Anchoa hepsetus
Broadback Mudcrab,Broadback Mudcrab,Eurytium limosum
Brotula Spp,Brotula Spp,Brotula spp
Brotula Spp. ,Brotula Spp,Brotula spp
Brown Spiny Sea Star,Brown Spiny Sea Star,Echinaster spinulosus
Burrfish Spp,Burrfish Spp,Chilomycterus spp
Butter Hamlet,Barred Hamlet,Hypoplectrus puella
Caesar Grunt,Caesar Grunt,Haemulon carbonarium
Caribbean Spiny Lobster,Caribbean Spiny Lobster,Panulirus argus
Chain Pipefish,Chain Pipefish,Syngnathus louisianae
Checkered Puffer,Checkered Puffer,Sphoeroides testudineus
Clown Goby,Clown Goby,Microgobius gulosus
Code Goby,Code Goby,Gobiosoma robustum
Common Snook,Common Snook,Centropomus undecimalis
Cottonwick,Cottonwick,Haemulon melanurum
Crested Blenny,Crested Blenny,Hypleurochilus germinatus
Crevalle Jack,Crevalle Jack,Caranx hippos
Cuban Anchovy,Cuban Anchovy,Anchoa cubana
Dark-Banded Mantis Shrimp,Dark-Banded Mantis Shrimp,Lysosquilla scabricauda
Decorator Crab Spp,Decorator Crab Spp,Macrocoeloma spp
Drum Spp,Drum Spp,Scienidae spp
Dusky Anchovy,Dusky Anchovy,Anchoa lyolepis
Dusky Pipefish,Dusky Pipefish,Syngnathus floridae
Dwarf Herring,Dwarf Herring,Jenkinsia lamprotaenia
Dwarf Seahorse,Dwarf Seahorse,Hippocampus zosterae
Emerald Parrotfish,Emerald Parrotfish,Nicholsina usta
False Arrow Crab,False Arrow Crab,Metoporhaphis calcarata
False Pilchard,Flase Pilchard,Harengula clupeola
Feather Blenny,Feather Blenny,Hypsoblennius hentz
Filefish Spp,Filefish Spp,Monacanthidae spp
Flase Pilchard,Flase Pilchard,Harengula clupeola
Flatback Mud Crab,Flatback Mud Crab,Eurypanopeus depressus
Florida Blenny,Florida Blenny,Chasmodes saburrae
Florida Blue Crab,Blue Crab,Callinectes sapidus
Florida Grassflat Crab,Florida Grassflat Crab,Neopanope packardii
Florida Stone Crab,Florida Stone Crab,Menippe mercenaria
Flying Gurnard,Flying Gurnard,Dactylopterus volitans
Freckled Blenny,Freckled Blenny,Hypsoblennius ionthas
French Grunt,French Grunt,Haemulon flavolineatum
Fringed Filefish,Fringed Filefish,Monacanthus ciliatus
Fringed Pipefish,Fringed Pipefish,Anarchopterus criniger
Gag Grouper,Gag Grouper,Mycteroperca microlepis
Goby Spp,Goby Spp,Gobiidae spp
Goldspotted Killifish,Goldspotted Killifish,Floridichthys carpio
Goliath Grouper,Goliath Grouper,Epinephelus itajara
"Goliath Grouper, Jewfish",Goliath Grouper,Epinephelus itajara
Grass Porgy,Grass Porgy,Calamus arctifrons
Grass Squid,Grass Squid,Pickfordiateuthis pulchella
Gray Pitho Crab,Gray Pitho Crab,Pitho mirabilis
Gray Pitho,Gray Pitho Crab,Pitho mirabilis
Gray Snapper,Gray Snapper,Lutjanus griseus
Gray Triggerfish,Gray Triggerfish,Balistes capriscus
Great Barracuda,Great Barracuda,Sphyraena barracuda
Green Goby,Green Goby,Microgobius thalassinus
Green Porcelain Crab,Green Porcelain Crab,Petrolisthes armatus
Grunt Spp,Grunt Spp,Haemulon spp
Gulf Arrow Crab,False Arrow Crab,Metoporhaphis calcarata
Gulf Flounder,Gulf Flounder,Paralichthys albigutta
Gulf Grassflat Crab,Gulf Grassflat Crab,Dyspanopeus texana
Gulf Pipefish,Gulf Pipefish,Syngnathus scovelli
Gulf Stone Crab,Gulf Stone Crab,Menippe adina
Gulf Toadfish,Gulf Toadfish,Opsanus beta
Halfbeak Spp,Halfbeak Spp,Beloniformes spp
Hardhead Catfish,Hardhead Catfish,Ariopsis felis
Harris Mud Crab,Harris Mud Crab,Rhithropanopeus harrisii
Herring Spp,Herring Spp,Clupeidae spp
Highfin Blenny,Highfin Blenny,Lupinoblennius nicholsi
Hogchoker,Hogchoker,Trinectes maculatus
Hogfish,Hogfish,Lachnolaimus maximus
Honeycomb Cowfish,Honeycomb Cowfish,Acanthostracion polygonius
Honeycomb Moray Eel,Honeycomb Moray Eel,Gymnathorax saxicola
Horned Blenny,Horned Blenny,Paraclinus grandicornis
Horse-Eye Jack,Horse-Eye Jack,Caranx latus
Horseshoe Crab,Horseshoe Crab,Limulus polyphemus
Inshore Lizardfish,Inshore Lizardfish,Synodus foetens
Iridescent Swimming Crab,Iridescent Swimming Crab,Portunus gibbesii
Jack Spp,Jack Spp,Caranx spp
Jolthead Porgy,Jolthead Porgy,Calamus bajonado
Key Anchovy,Key Anchovy,Anchoa cayorum
Ladyfish,Ladyfish,Elops saurus
Lane Snapper,Lane Snapper,Lutjanus synagris
Least Puffer,Least Puffer,Sphoeroides parvus
Leopard Sea Robin,Leopard Sea Robin,Prionotus scitulus
Lesser Blue Crab,Lesser Blue Crab,Callinectes similis
Lined Porcelain Crab,Lined Porcelain Crab,Petrolisthes galathinus
Lined Seahorse,Lined Seahorse,Hippocampus erectus
Lined Sole,Lined Sole,Achirus lineatus
Long Snout Seahorse,Long Snout Seahorse,Hippocampus reidi
Longnose Spider Crab,Longnose Spider Crab,Libinia dubia
Lookdown,Lookdown,Selene vomer
Mahogany Snapper,Mahogany Snapper,Lutjanus mahogoni
Majid Crab,Majid Crab,Pitho quadridentata
Mangrove Gambusia,Mangrove Gambusia,Gambusia rhizophorae
Mantis Shrimp,Mantis Shrimp,Squilla empusa
Marbled Blenny,Marbled Blenny,Paraclinus marmoratus
Mithrax Crab,Mithrax spp,Mithracidae spp
Mithrax Crab Spp,Mithrax spp,Mithracidae spp
Mojarra Spp,Mojarra Spp,Eucinostomus spp
Mud Crab Spp,Mud Crab Spp,Panopeidae spp
Mullet Spp,Mullet Spp,Mugilidae spp
Mutton Snapper,Mutton Snapper,Lutjanus analis
Neck Crab Spp,Neck Crab Spp,Podochelinae spp
Needlefish Spp,Needlefish Spp,Belonidae spp
Nudibranch Spp,Nudibranch Spp,Nudibranchia spp
Nudibranch,Nudibranch Spp,Nudibranchia spp
Oyster Mud Crab,Oyster Mud Crab,Panopeus simpsoni
Parrotfish Spp,Parrotfish Spp,Scaridae spp
Peacock Flounder,Peacock Flounder,Bothus lunatus
Permit,Permit,Trachinotus falcatus
Pigfish,Pigfish,Orthopristis chrysoptera
Pinfish,Pinfish,Lagodon rhomboides
Pink Purse Crab,Pink Purse Crab,Persephona crinita
Pipefish Spp,Pipefish Spp,Syngnathidae spp
Pitho Crab Spp,Pitho Crab Spp,Pitho spp
Planehead Filefish,Planehead Filefish,Stephanolepis hispidus
Pompano,Pompano,Trachinotus carolinus
Porcelain Crab Spp,Porcelain Crab Spp,Petrolisthes spp
Porcelain Crab,Porcelain Crab Spp,Petrolisthes spp
Porgy Spp,Porgy Spp,Sparidae spp
Porkfish,Porkfish,Arisotremus virginicus
Pupfish Spp,Pupfish Spp,Cyprinodontinae spp
Pygmy Filefish,Pygmy Filefish,Stephanolepis setifer
Rainwater Killifish,Rainwater Killifish,Lucania parva
Red Drum,Red Drum,Sciaenops ocellatus
Red Scorpionfish,Barbfish,Scorpaena brasiliensis
Redear Sardine,Redear Sardine,Harengula humeralis
Redfin Needlefish,Redfin Needlefish,Strongylura notata
Redfish,Red Drum,Sciaenops ocellatus
Redtail Parrotfish,Redtail Parrotfish,Sparisoma chrysopterum
Roughback Batfish,Roughback Batfish,Ogcocephalus parvus
Sailfin Molly,Sailfin Molly,Poecilia latipinna
Sailor's Grunt,Sailor's Grunt,Haemulon parra
Sailor's Choice,Sailor's Grunt,Haemulon parra
Sand Perch,Sand Perch,Diplectrum formosum
Sardine Spp,Herring Spp,Clupeidae spp
Sargassum Pipefish,Sargassum Pipefish,Syngnathus pelagicus
Sargassum Swimming Crab,Sargassum Swimming Crab,Portunus sayi
Scaled Sardine,Scaled Sardine,Harengula jaguana
Schoolmaster Snapper,Schoolmaster Snapper,Lutjanus apodus
Scrawled Cowfish,Scrawled Cowfish,Acanthostracion quadricornis
Scrawled Filefish,Scrawled Filefish,Aluterus scriptus
Sea Cucumber Spp,Sea Cucumber Spp,Holothuroidea spp
Sea Robin,Sea Robin,Prionotus rubio
Sea Spider Spp,Sea Spider Spp,Pantopoda spp
Sea Star Spp,Sea Star Spp,Asteroidea spp
Seahorse Spp,Seahorse Spp,Hippocampus spp
Searobin Spp,Searobin Spp,Triglidae spp
Sheepshead,Sheepshead,Archosargus probatocephalus
Sheepshead Minnow,Sheepshead Minnow,Cyprinodon variegatus
Sheepshead Porgy,Sheepshead Porgy,Calamus penna
Sheepshead Porgy/Saucereye Porgy,Sheepshead Porgy,Calamus penna
Shortfinger Neck Crab,Shortfinger Neck Crab,Podochela sidneyi
Silver Perch,Silver Perch,Bairdiella chrysoura
Silver Porgy,Silver Porgy,Diplodus caudimacula
Silver Seatrout,Silver Seatrout,Cynoscion nothus
Slender Filefish,Slender Filefish,Monacanthus tuckeri
Slippery Dick,Slippery Dick,Halichoeres bivittatus
Snapper Spp,Snapper Spp,Lutjanus spp
Southern Flounder,Southern Flounder,Paralichthys lethostigma
Southern Kingfish,Southern Kingfish,Menticirrhus americanus
Southern Puffer,Southern Puffer,Sphoeroides nephelus
Spanish Sardine,Spanish Sardine,Sardinella aurita
Speck-Claw Decorator Crab,Speck-Claw Decorator Crab,Microphrys bicornutus
Spider Crab Spp,Spider Crab Spp,Majidae spp
Spotted Dragonet,Spotted Dragonet,Diplogrammus pauciradiatus
Spotted Scorpionfish,Spotted Scorpionfish,Scorpaena plumieri
Spotted Seatrout,Spotted Seatrout,Cynoscion nebulosus
Spotted Seatrout <100mm,Spotted Seatrout,Cynoscion nebulosus
Spotted Seatrout >100mm,Spotted Seatrout,Cynoscion nebulosus
Spotted Trunkfish,Spotted Trunkfish,Lactophrys bicaudalis
Starfish Spp,Sea Star Spp,Asteroidea spp
Stone Crab,Gulf Stone Crab,Menippe adina
Striped Blenny,Striped Blenny,Chasmodes bosquianus
Striped Burrfish,Striped Burrfish,Chilomycterus schoepfi
Striped Grunt,Striped Grunt,Haemulon striatum
Striped Mullet,Striped Mullet,Mugil cephalus
Summer Flounder,Summer Flounder,Paralichthys dentatus
Swimming Crab Spp,Swimming Crab Spp,Portunus spp
Tarpon,Tarpon,Megalops atlanticus
Timucu,Timucu,Strongylura timucu
Trunkfish Spp,Trunkfish Spp,Lactophrys spp
Unid Fish,Unknown,Unknown
Web Burrfish,Web Burrfish,Chilomycterus antillarum
Western Atlantic Seabream,Western Atlantic Seabream,Archosargus rhomboidalis
White Grunt,White Grunt,Haemulon plumierii
Windowpane,Windowpane Flounder,Scophthalmus aquosus
Windowpane Flounder,Windowpane Flounder,Scophthalmus aquosus
Worm Goby Spp,Worm Goby Spp,Microdesmidae spp spp
Yellowtail Snapper,Yellowtail Snapper,Ocyurus chrysurus
