"keyfield","com_nm","sci_nm","occurrence","abundance","density","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes","mean_height_Halodule","mean_height_Macroalgae","mean_height_Syringodium","mean_height_Thalassia","mean_height_Algae","mean_pc_Halodule","mean_pc_Macroalgae","mean_pc_Syringodium","mean_pc_Thalassia","mean_pc_Algae"
"200409211243-408","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"12:43",408,"W",25.12,-80.642,"9/21/2004","Crocodile",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0,NA,0,18,NA
"200409211045-324","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00211640211640212,2004,9,21,"10:45",324,"S",25.124,-80.694,"9/21/2004","Crocodile",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,28,NA,NA,NA,NA,NA,NA,8,NA,NA,15,NA,2,NA,0,40,NA
"200409211140-325","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"11:40",325,"W",25.112,-80.682,"9/21/2004","Crocodile",NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,29.3,NA,NA,NA,NA,NA,NA,6,NA,NA,10,NA,0,NA,0,22,NA
"200409211623-271","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"16:23",271,"W",25.058,-80.752,"9/21/2004","Whipray",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,30.4,NA,NA,NA,NA,NA,NA,6,NA,NA,19,NA,0,NA,0,49,NA
"200409211329-402","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"13:29",402,"W",25.122,-80.668,"9/21/2004","Crocodile",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,NA,0,14,NA
"200409211720-284","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"17:20",284,"N",25.069,-80.738,"9/21/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0,NA,0,41,NA
"200409211513-616","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"15:13",616,"W",25.148,-80.691,"9/21/2004","Crocodile",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,30.8,NA,NA,NA,NA,NA,NA,5,NA,NA,9,NA,0,NA,0,8,NA
"200409211408-621","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,21,"14:08",621,"S",25.167,-80.664,"9/21/2004","Crocodile",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,NA,0,9,NA
"200409220938-118","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"9:38",118,"W",25.076,-80.985,"9/22/2004","West",NA,NA,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,28.3,NA,NA,NA,NA,NA,NA,29,NA,27,37,NA,85,NA,5,2,NA
"200409221105-107","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"11:05",107,"W",25.065,-80.999,"9/22/2004","West",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,28.5,NA,NA,NA,NA,NA,NA,20,NA,34,27,NA,0,NA,10,68,NA
"200409221234-021","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"12:34",21,"E",25.069,-81.051,"9/22/2004","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,28.6,NA,NA,NA,NA,NA,NA,10,NA,25,NA,NA,0,NA,22,0,NA
"200409221515-158","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"15:15",158,"N",25.083,-80.919,"9/22/2004","West",NA,NA,NA,180.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,29,NA,NA,NA,NA,NA,NA,14,NA,28,32,NA,1,NA,13,0,NA
"200409221336-101","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"13:36",101,"N",25.08,-81.037,"9/22/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,29.2,NA,NA,NA,NA,NA,NA,11,NA,41,25,NA,1,NA,19,0,NA
"200409221712-294","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,22,"17:12",294,"W",25.078,-80.728,"9/22/2004","Whipray",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,NA,0,68,NA
"200409230854-243","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"8:54",243,"S",25.049,-80.792,"9/23/2004","Rankin",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0,NA,0,15,NA
"200409230942-227","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"9:42",227,"S",25.051,-80.818,"9/23/2004","Rankin",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0,NA,0,77,NA
"200409231043-242","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"10:43",242,"S",25.062,-80.804,"9/23/2004","Rankin",NA,NA,NA,159.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,0,47,NA
